Group,ATZ,D,ME,AppRate,Weight,SA,Media,Pesticide,Conc
ATZD,1,1,-1,37.9,2.8407,2.070121781,BCF,METBCF,0
ATZD,1,1,-1,37.9,2.2087,1.789442601,BCF,METBCF,0
ATZD,1,1,-1,37.9,1.6348,1.503344888,BCF,METBCF,0
ATZD,1,1,-1,37.9,1.686,1.530428829,BCF,METBCF,0
ATZD,1,1,-1,37.9,2.0948,1.73541821,BCF,METBCF,0
ATZME,1,-1,1,54.5,2.0979,1.736904716,BCF,METBCF,0.558922986
ATZME,1,-1,1,54.5,1.8523,1.616097145,BCF,METBCF,0.193022073
ATZME,1,-1,1,54.5,1.8649,1.622453161,BCF,METBCF,0.005834235
ATZME,1,-1,1,54.5,2.4907,1.918371472,BCF,METBCF,0.729754187
ATZME,1,-1,1,54.5,1.8136,1.596460353,BCF,METBCF,0.426358206
ATZME,1,-1,1,54.5,2.7419,2.028123924,BCF,METBCF,0.061074857
MED,-1,1,1,45.2,2.2984,1.831167344,BCF,METBCF,0.229667322
MED,-1,1,1,45.2,1.5863,1.477357862,BCF,METBCF,0.049738132
MED,-1,1,1,45.2,1.8205,1.599974314,BCF,METBCF,0.062393201
MED,-1,1,1,45.2,1.6197,1.495289308,BCF,METBCF,0.035097564
MED,-1,1,1,45.2,0.9634,1.1068446,BCF,METBCF,0.024128973
MED,-1,1,1,45.2,2.2634,1.814969805,BCF,METBCF,0.022088505
ATZMED,1,1,1,68.8,0.9971,1.129099777,BCF,METBCF,0.186229275
ATZMED,1,1,1,68.8,2.0136,1.69614544,BCF,METBCF,0.350194631
ATZMED,1,1,1,68.8,1.7687,1.573455166,BCF,METBCF,0.237040165
ATZMED,1,1,1,68.8,1.6929,1.534052174,BCF,METBCF,0.365253971
ATZMED,1,1,1,68.8,2.2402,1.804174989,BCF,METBCF,0.47033869
ATZMED,1,1,1,68.8,2.7643,2.037700821,BCF,METBCF,0.041892994
